V_method,Parameters,Method,Folds,MAE,STD
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.70616941687069,2.270850160499216
direct,direct_thres=1.000000,lop,17.0,3.7065032038877246,2.5000481179032272
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.707906902199074,2.2619705011237414
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.707906902199074,2.2619705011237414
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.7085176600170504,2.2707269151425242
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.7085176600170504,2.2707269151425242
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.709479455196644,2.267580386181111
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.7099425867306515,2.267492918337667
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.71007067639756,2.2614475945801384
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.7114339662952496,2.2665600609643124
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.7114339662952496,2.2665600609643124
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=0.500000",lop,17.0,3.7115631492108974,2.3900589049433307
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.7117384397288844,2.2653112506999356
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=0.250000",lop,17.0,3.7124024176923154,2.782097061800341
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,3.714933635973217,2.2671864947226275
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,3.714933635973217,2.2671864947226275
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,3.7169792192728446,2.267420674129479
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,3.719160768515116,2.2698384661095496
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,3.719160768515116,2.2698384661095496
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,3.720660157995579,2.269959853624973
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,3.721469760790907,2.269738383771741
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,3.721469760790907,2.269738383771741
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,3.7232838739692555,2.2709045346557226
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,3.7232838739692555,2.2709045346557226
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,3.723694477207487,2.269935101874183
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,3.72523529694907,2.2709572485210416
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=1.000000",lop,17.0,3.725333564190105,2.789363334490892
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,3.7270562896042456,2.272848943142801
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,3.7270562896042456,2.272848943142801
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,3.7289076914954644,2.2729449168630755
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=5.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.7314357109783924,2.212914686430319
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,3.7315010175508774,2.2740108940231956
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,3.7315010175508774,2.2740108940231956
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=5.000000,weight_indirect=1.000000",lop,17.0,3.731771823333911,1.9260380375329775
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,3.7334454559627073,2.274122933870821
