V_method,Parameters,Method,Folds,MAE,STD
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=1.000000",hillside(t=0),17.0,7.915104977981636,4.868972655573197
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,8.491757447527256,7.359350608891284
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=5.000000,weight_indirect=0.500000",hillside(t=0),17.0,8.504106268587776,6.056437675929675
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=5.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,8.58896806420882,6.666172785091914
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,8.779923731458167,7.327683772661558
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,8.779923731458167,7.327683772661558
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,8.859700671042017,7.817910910959671
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,8.922404019295595,8.022657970251355
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,8.922404019295595,8.022657970251355
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,9.170140720873087,8.54693443739882
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,9.260554374892521,7.356121690563737
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,9.383868494568086,10.775017246959047
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,9.383868494568086,10.775017246959047
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,9.410291807919258,9.200297541570036
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,9.410291807919258,9.200297541570036
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,10.10506883467992,7.071378259494793
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,10.217604727241545,6.92741110069546
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,10.87156014168283,9.49401519896889
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,10.895923854098164,6.654495198426805
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,12.159350218961006,11.66318189423223
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,12.191601612714479,8.68587124764406
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,12.191601612714479,8.68587124764406
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,12.439931977480532,9.096196104159388
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,12.439931977480532,9.096196104159388
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,12.647914915967666,8.099271056552416
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=5.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,12.802578104478375,9.99723281056906
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=5.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,12.914831707818488,7.092397226220217
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,13.16831144399138,9.831948238799425
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,13.295386029234935,10.007687574166336
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,13.824998279519543,9.233930153376981
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,13.824998279519543,9.233930153376981
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,14.92573270614942,12.406883802340126
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,15.124017765082893,14.306889620624037
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,15.124017765082893,14.306889620624037
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,15.259285794913627,10.548142570502794
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,15.8137169951073,14.547363753437411
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,15.8137169951073,14.547363753437411
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,16.114454627685557,11.298208584791281
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,16.114454627685557,11.298208584791281
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,16.820468011253325,11.538868012893847
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,16.820468011253325,11.538868012893847
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=5.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,17.489568886743093,30.89627995955845
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,20.115548230708107,33.16299788215883
